prev_intent,curr_intent,count,p
statement,statement,12927,0.5275249948990002
short_reply,short_reply,12270,0.5263609454763846
statement,short_reply,9722,0.3967353601305856
short_reply,statement,9559,0.4100639183218223
statement,invite,1166,0.04758212609671496
invite,statement,1160,0.5435801312089972
invite,short_reply,791,0.37066541705716965
short_reply,invite,780,0.03346059800094376
ask_explanation,statement,568,0.4674897119341564
short_reply,ask_explanation,526,0.022564454549354383
ask_explanation,short_reply,519,0.4271604938271605
statement,ask_explanation,482,0.01966945521322179
complaint,statement,171,0.4659400544959128
statement,complaint,170,0.0069373597225056115
complaint,short_reply,159,0.4332425068119891
short_reply,complaint,147,0.00630603577710094
invite,invite,133,0.06232427366447985
ask_explanation,ask_explanation,57,0.04691358024691358
ask_explanation,invite,53,0.043621399176954734
request_example,statement,46,0.6052631578947368
statement,request_example,38,0.0015507039379718424
invite,ask_explanation,34,0.015932521087160263
short_reply,request_example,28,0.0012011496718287503
request_example,short_reply,24,0.3157894736842105
ask_explanation,complaint,15,0.012345679012345678
complaint,invite,15,0.04087193460490463
complaint,complaint,15,0.04087193460490463
invite,complaint,13,0.006091846298031865
complaint,ask_explanation,6,0.01634877384196185
request_example,invite,5,0.06578947368421052
ask_explanation,request_example,3,0.0024691358024691358
invite,request_example,3,0.0014058106841611997
complaint,request_example,1,0.0027247956403269754
request_example,request_example,1,0.013157894736842105
request_steps,statement,1,1.0
short_reply,request_steps,1,4.2898202565312514e-05
